Customer ID,Cluster_category,RFM_category
AA-10315,1,Low Value Customer
AA-10375,1,Low Value Customer
AA-10645,1,Lost Customer
AB-10015,0,High Value Customer
AB-10060,2,High Value Customer
AB-10105,1,Lost Customer
AB-10150,0,High Value Customer
AB-10165,0,High Value Customer
AB-10255,1,Low Value Customer
AB-10600,0,High Value Customer
AC-10420,0,High Value Customer
AC-10450,0,High Value Customer
AC-10615,2,High Value Customer
AD-10180,0,High Value Customer
AF-10870,0,High Value Customer
AF-10885,0,High Value Customer
AG-10300,0,High Value Customer
AG-10330,0,High Value Customer
AG-10390,0,High Value Customer
AG-10495,0,High Value Customer
AG-10525,1,Low Value Customer
AG-10675,1,Low Value Customer
AG-10765,0,High Value Customer
AG-10900,1,Low Value Customer
AH-10120,0,High Value Customer
AH-10195,0,High Value Customer
AH-10210,1,Low Value Customer
AH-10465,1,Low Value Customer
AH-10585,0,High Value Customer
AH-10690,2,Low Value Customer
AI-10855,1,High Value Customer
AJ-10795,1,Low Value Customer
AJ-10945,1,Low Value Customer
AM-10360,0,High Value Customer
AM-10705,0,High Value Customer
AP-10720,0,High Value Customer
AP-10915,2,High Value Customer
AR-10345,0,High Value Customer
AR-10540,0,High Value Customer
AR-10825,1,Low Value Customer
AS-10045,1,Low Value Customer
AS-10090,2,High Value Customer
AS-10225,0,High Value Customer
AS-10285,0,High Value Customer
AS-10630,0,High Value Customer
AT-10435,0,High Value Customer
AT-10735,0,High Value Customer
AW-10840,0,High Value Customer
AW-10930,1,Low Value Customer
AZ-10750,1,Low Value Customer
BB-10990,1,Low Value Customer
BB-11545,2,Top Customer
BC-11125,1,Low Value Customer
BD-11320,0,High Value Customer
BD-11605,1,Lost Customer
BD-11620,0,High Value Customer
BD-11635,0,High Value Customer
BD-11725,0,High Value Customer
BD-11770,1,Low Value Customer
BE-11335,0,High Value Customer
BE-11410,0,High Value Customer
BE-11455,1,Lost Customer
BF-10975,0,High Value Customer
BF-11005,0,High Value Customer
BF-11020,3,Top Customer
BF-11080,0,High Value Customer
BF-11170,0,High Value Customer
BF-11215,0,High Value Customer
BF-11275,0,High Value Customer
BG-11035,0,High Value Customer
BG-11695,0,High Value Customer
BG-11740,0,High Value Customer
BH-11710,1,Low Value Customer
BK-11260,0,High Value Customer
BM-11140,1,Lost Customer
BM-11575,0,High Value Customer
BM-11650,1,Low Value Customer
BM-11785,1,Low Value Customer
BN-11470,0,High Value Customer
BN-11515,0,High Value Customer
BO-11350,2,Top Customer
BO-11425,0,High Value Customer
BP-11050,0,High Value Customer
BP-11155,0,High Value Customer
BP-11185,2,Top Customer
BP-11290,0,High Value Customer
BS-11380,2,High Value Customer
BS-11590,0,High Value Customer
BS-11755,0,High Value Customer
BS-11800,0,High Value Customer
BT-11305,0,High Value Customer
BT-11395,0,High Value Customer
BT-11485,0,High Value Customer
BT-11680,3,High Value Customer
BW-11065,0,High Value Customer
BW-11110,0,High Value Customer
BW-11200,0,High Value Customer
CA-11965,0,High Value Customer
CA-12055,1,Low Value Customer
CA-12265,1,Low Value Customer
CA-12310,0,High Value Customer
CA-12775,1,Low Value Customer
CB-12025,0,High Value Customer
CB-12415,1,Low Value Customer
CB-12535,2,High Value Customer
CC-12100,0,High Value Customer
CC-12145,0,High Value Customer
CC-12220,2,High Value Customer
CC-12370,0,High Value Customer
CC-12430,1,Low Value Customer
CC-12475,1,Low Value Customer
CC-12550,0,High Value Customer
CC-12610,0,High Value Customer
CC-12670,1,Low Value Customer
CC-12685,1,Low Value Customer
CD-11980,0,High Value Customer
CD-12280,1,Low Value Customer
CG-12040,0,High Value Customer
CG-12520,0,High Value Customer
CH-12070,0,High Value Customer
CJ-12010,2,High Value Customer
CK-12205,1,Low Value Customer
CK-12325,0,High Value Customer
CK-12595,3,Top Customer
CK-12760,0,High Value Customer
CL-11890,0,High Value Customer
CL-12565,1,Low Value Customer
CM-11815,0,High Value Customer
CM-12115,0,High Value Customer
CM-12160,0,High Value Customer
CM-12190,0,High Value Customer
CM-12235,1,Low Value Customer
CM-12385,0,High Value Customer
CM-12655,1,Low Value Customer
CM-12715,0,High Value Customer
CP-12085,0,High Value Customer
CP-12340,0,High Value Customer
CR-12580,0,High Value Customer
CR-12730,0,High Value Customer
CR-12820,0,High Value Customer
CS-11845,0,High Value Customer
CS-11860,0,High Value Customer
CS-11950,0,High Value Customer
CS-12175,0,High Value Customer
CS-12250,1,Low Value Customer
CS-12355,1,Low Value Customer
CS-12400,1,Low Value Customer
CS-12460,0,High Value Customer
CS-12490,1,Low Value Customer
CS-12505,0,High Value Customer
CT-11995,0,High Value Customer
CV-12295,0,High Value Customer
CV-12805,1,Low Value Customer
CW-11905,0,High Value Customer
CY-12745,0,High Value Customer
Co-12640,0,High Value Customer
DA-13450,0,High Value Customer
DB-12910,1,Low Value Customer
DB-12970,0,High Value Customer
DB-13060,0,High Value Customer
DB-13120,1,Lost Customer
DB-13210,2,Top Customer
DB-13270,1,Low Value Customer
DB-13360,0,High Value Customer
DB-13405,0,High Value Customer
DB-13555,1,Low Value Customer
DB-13615,1,Low Value Customer
DB-13660,0,High Value Customer
DC-12850,0,High Value Customer
DC-13285,0,High Value Customer
DD-13570,0,High Value Customer
DE-13255,0,High Value Customer
DG-13300,1,Low Value Customer
DH-13075,0,High Value Customer
DJ-13420,0,High Value Customer
DJ-13510,0,High Value Customer
DK-12835,1,High Value Customer
DK-12895,2,High Value Customer
DK-12985,1,Low Value Customer
DK-13090,1,Low Value Customer
DK-13225,2,High Value Customer
DK-13375,1,Low Value Customer
DL-12865,0,High Value Customer
DL-12925,1,Lost Customer
DL-13315,2,Top Customer
DL-13330,0,High Value Customer
DL-13495,0,High Value Customer
DM-12955,0,High Value Customer
DM-13015,1,Low Value Customer
DM-13345,0,High Value Customer
DM-13525,1,Low Value Customer
DO-13435,0,High Value Customer
